wea_stn_cd,valid_date,max_3,max_4,max_5,max_6,max_7,min_3,min_4,min_5,min_6,min_7,pop1_3,pop1_4,pop1_5,pop1_6,pop1_7,pop2_3,pop2_4,pop2_5,pop2_6,pop2_7,max_temp,min_temp,water
KSEA,20151006,70,71,68,,,56,52,53,,,0,0,1,,,0,0,2,,,65,50,0.00
KSEA,20151007,66,66,65,66,,56,56,55,52,,25,5,7,3,,30,20,27,14,,61,57,0.39
KSEA,20151008,68,70,69,69,66,59,57,58,56,54,25,5,60,50,32,10,15,35,35,59,66,56,0.00
KSEA,20151009,68,70,73,70,70,57,60,58,59,57,23,30,21,55,34,42,22,22,50,35,67,54,0.01
KSEA,20151010,62,63,66,71,70,60,61,62,60,60,49,64,39,24,30,80,86,63,42,30,70,56,1.13
KSEA,20151011,61,62,61,59,62,51,52,54,57,56,91,77,80,73,74,34,37,71,82,77,64,51,0.00
KSEA,20151012,64,63,63,62,61,50,51,54,53,52,7,23,31,64,54,30,47,49,56,42,65,51,0.18
KSEA,20151013,63,61,61,62,64,54,53,51,51,51,52,60,55,49,41,14,27,32,30,31,62,49,0.05
KSEA,20151014,64,66,61,61,62,49,50,48,47,48,2,2,6,11,16,0,0,4,6,13,59,50,0.00
KSEA,20151015,68,69,70,65,65,49,51,52,48,47,0,0,0,3,6,0,0,1,5,11,70,49,0.00
KSEA,20151016,70,70,71,71,66,51,52,54,53,51,0,0,1,1,10,4,1,3,4,15,68,48,0.00
KSEA,20151017,61,62,62,66,67,54,55,55,55,54,31,30,11,15,13,90,78,52,34,22,67,53,0.01
KSEA,20151018,60,60,61,60,62,54,53,53,54,56,73,66,49,51,45,49,56,38,50,50,59,55,0.15
KSEA,20151019,57,59,60,60,60,52,52,52,52,53,50,36,83,48,51,58,53,61,61,39,63,54,0.01
KSEA,20151020,59,60,62,61,63,48,49,51,51,51,16,19,42,30,37,2,7,54,28,32,64,51,0.00
KSEA,20151021,60,59,59,61,60,47,48,50,51,50,0,1,9,44,40,19,23,46,47,56,61,47,T
KSEA,20151022,55,55,55,54,58,47,47,48,49,48,37,50,35,46,49,23,32,36,48,42,61,48,0.00
KSEA,20151023,55,56,56,54,53,42,42,43,44,45,5,9,11,21,36,10,8,11,25,43,55,45,0.00
